S_ID | S_POINT
624 | (1655861.2622219604 -4746416.850331476)
625 | (-98591.97570763156 -3809046.293075082)
626 | (1621422.8217340969 4542868.785464067)
627 | (-6433733.701367835 -1629921.4078837894)
628 | (-5192541.311852496 -5942502.988579541)
629 | (6381887.105216013 5753888.766322913)
630 | (8066603.808911327 -7493421.0377179105)
631 | (9773754.303895403 2273528.4256294034)
632 | (7327594.96755651 5337764.88946582)
633 | (9038974.196251228 397952.9686343651)
634 | (1243130.9902891535 -1813126.4083683155)
635 | (-2787480.8819066184 -3803657.5759715866)
636 | (624865.7922773585 4808080.816746032)
637 | (1992451.9616419952 1383476.3089125901)
638 | (8855089.217107024 8501278.155461308)
639 | (5727373.09482887 8214640.808978308)
640 | (4036862.1969927493 -5656664.852894551)
641 | (-7253658.724947418 6885273.36757572)
642 | (830571.9703956861 5742593.858921476)
643 | (-1086401.2955609057 -991635.195304554)
644 | (7327831.045933135 -153553.2128982693)
645 | (2244868.4258237835 -7869151.628335105)
646 | (-6866139.3133536335 -5135640.676822548)
647 | (8640569.683900341 7133303.57669349)
648 | (2924760.9504105467 -3556151.801779273)
649 | (2720854.029810708 9119157.679733627)
650 | (8551199.51400809 922557.3689439297)
651 | (-4292994.70414481 8260853.755050626)
652 | (2792548.86528836 7826596.231767103)
653 | (-9044434.613390354 -5048360.391755917)
654 | (6519746.653163644 451434.1278460175)
655 | (-1275852.1096961424 -7066336.537418496)
656 | (-6189076.193322367 1823839.4275455847)
657 | (233659.27139450796 6710056.313347297)
658 | (431327.84278733283 895296.8977426048)
659 | (173514.45191277936 -6997188.306616353)
660 | (-338491.2970592361 -4721443.674974506)
661 | (-2556981.668893113 -9699379.68571205)
662 | (-1855473.8388816668 -5815503.863876674)
663 | (6543693.899255736 975777.3142075427)
664 | (-8960577.01700035 -3868927.2390254615)
665 | (-3216682.341799097 -2085022.8674185667)
666 | (6579361.399163824 7795063.4209869355)
667 | (813779.2670312561 -1970150.4002096513)
668 | (-2599932.0094465865 -535503.1852988936)
669 | (-1574915.0390748829 2214732.707170697)
670 | (2206212.959995644 -8713993.035129575)
671 | (7948820.0662296 8309359.586838275)
672 | (7045065.243334398 -1657831.6430860097)
673 | (734125.2199023776 -2994986.207478052)
674 | (7264668.186212856 -8077646.820984641)
675 | (-2315240.1067008646 205118.66186402366)
676 | (-21195.078746745363 -4017195.556427717)
677 | (5033710.229671914 9350629.35832886)
678 | (720619.8118724022 -8559579.205272632)
679 | (7250842.197066326 -3165347.1295786723)
680 | (-1410766.5363959223 -452315.43346656114)
681 | (-8776900.755572274 6017065.151986809)
682 | (8189666.205760252 -6658901.205874553)
683 | (-6408305.539023237 5560523.76200261)
684 | (-8061341.463647185 4691071.365920493)
685 | (802995.0174305923 -7154772.99573654)
686 | (6584348.018271765 840814.2213588338)
687 | (-3371077.6077413866 9199102.83296188)
688 | (8054117.565626014 7631163.426314037)
689 | (8784297.788326707 2849445.030667536)
690 | (2549877.308130933 -3800975.2178179435)
691 | (8407372.007465344 2654070.207447568)
692 | (557393.9739002734 8214767.731144208)
693 | (5925965.4703682605 7126155.73765422)
694 | (9165537.718384534 8426165.926803239)
695 | (4901015.924754787 -8183847.762232806)
696 | (-9860025.877231281 -8370661.4811983025)
697 | (3574162.2743882816 -8676827.794668656)
698 | (3052533.2875774205 -1606722.2659472618)
699 | (3751932.5896385647 5044385.529011345)
700 | (3334058.9342009313 186871.96004972793)
701 | (3674304.4191064946 -8122466.459366541)
702 | (-7171984.781457474 1530739.1700618472)
703 | (3500850.974552363 -5234697.162697402)
704 | (7603532.71127462 6014402.26958563)
705 | (4538356.627081359 -3199750.1594737107)
706 | (6922756.776914116 6951612.564444602)
707 | (-4207412.342278285 1801569.2688240297)
708 | (-9707471.731189582 2821990.3230769224)
709 | (-3653325.275230581 -7791290.80369189)
710 | (9563843.050041173 -3218237.4802113324)
711 | (-5639224.896988871 6441537.908097815)
712 | (759231.166246878 5795293.780863771)
713 | (-2575655.8072841717 5953529.306540828)
714 | (-6340354.299571989 -2598177.108696509)
715 | (-6750757.267294513 -2160028.042714688)
716 | (5413218.596690858 -483550.4534244351)
717 | (-852567.648108542 895641.664811451)
718 | (3177071.503515063 9286874.667983588)
719 | (2482218.818580061 6773567.269136412)
720 | (4983664.800706297 -7946010.164922559)
721 | (5443814.399458436 -907612.1730775852)
722 | (-3174543.915663111 -10359.392089799047)
723 | (4137613.065269476 9276687.251608863)
724 | (-8058745.257208817 5866942.422165312)
725 | (6112879.817776611 -3533943.888406188)
726 | (1299985.6432976704 -5813808.856053473)
727 | (6839634.7008734085 9482654.862261292)
728 | (-9596014.390681257 -8146444.092862762)
729 | (-1624403.2651763754 6973557.659573551)
730 | (-5656406.709053301 4339966.101365967)
731 | (-1001760.5041107275 9122752.873377014)
732 | (5304354.943443732 6386054.053448193)
733 | (5909558.993925702 8995217.569004014)
734 | (1189001.6170180757 7391708.953482125)
735 | (-3431700.43295558 -9862600.630362142)
736 | (7432243.520195283 -3575003.559954646)
737 | (1884541.4320513867 -2320617.086466858)
738 | (-5314155.084594887 -8990352.65163431)
739 | (4294200.586804628 -9900308.778449915)
740 | (-6199768.498697357 -8812613.422347682)
741 | (6348195.824492009 9313617.139473476)
742 | (-920598.5950413644 7061379.145070527)
743 | (7522955.950066488 8717010.239662401)
744 | (-3943685.825359338 4497856.7425687)
745 | (-6022709.743066052 6160103.917168714)
746 | (-3327781.419026086 1938839.3804441262)
747 | (-9976777.614428554 9008831.766628034)
748 | (-5510241.9451995855 5120580.116023691)
749 | (-5939667.560559221 -8655655.116259988)
750 | (9090779.779282786 -2622804.490459445)
751 | (-1013140.3033805937 -7478650.840060042)
752 | (-1533686.5599627253 -9354766.439167533)
753 | (2019235.3542632796 -7447022.707775271)
754 | (-4051661.386258876 1744884.8664191999)
755 | (2372690.7672708035 1661216.4674837813)
756 | (444792.6222416274 -4254873.801593557)
757 | (321016.5316335503 -9133531.12932019)
758 | (-6780156.587244641 499665.14419466816)
759 | (-3076013.5855432665 -5691570.169762936)
760 | (-4170085.6609976664 -3859098.837818984)
761 | (-7853644.371001419 5264669.6551529765)
762 | (-3165197.882278394 6804985.794831678)
763 | (3007729.6300492827 2917337.836390132)
764 | (7682715.23082884 8551646.48564586)
765 | (6599760.293151833 -6513319.115617795)
766 | (-9753276.023500971 -1014975.8035881035)
767 | (696482.2642752826 -1563397.3289202172)
768 | (-5559343.804076642 -7952690.973503906)
769 | (-6452052.996934619 -9333656.011013318)
770 | (-7401232.7344085695 -8029584.587935395)
771 | (2856094.2058363557 -1533478.271093823)
772 | (-7372614.051015241 -7793772.04037427)
773 | (451142.7652192451 -5493443.138418099)
774 | (-6311854.051861412 7651094.442214005)
775 | (-94314.17898068205 -5867668.895503208)
776 | (-165485.5195423253 -1359193.3599143531)
777 | (9771739.610214788 8368441.180700637)
778 | (-493844.32414192706 -8378810.9770636195)
779 | (-4278086.503556522 -6727063.938573552)
780 | (4882093.526783019 -2746917.6318509514)
781 | (-5865065.679104036 -7219308.963492059)
782 | (896989.0903489757 -4536351.663602877)
783 | (-8154742.191797173 686252.6884293854)
784 | (3885540.55514613 -9478277.992050275)
785 | (-8531671.71832635 8499857.96720161)
786 | (4033770.346241854 -6042304.438144877)
787 | (-5489770.647537586 -9374111.85978648)
788 | (5721235.332940904 -6267778.826577371)
789 | (-8445649.933473833 -6069768.843192382)
790 | (4405950.966898207 -9053664.829422355)
791 | (-4525301.92738986 1356767.3359310888)
792 | (-4029020.042669378 -6123281.60714368)
793 | (-5862659.401177648 1735978.2783521302)
794 | (8779657.309398018 -3189301.005920466)
795 | (3388425.897089023 -9355746.72732839)
796 | (4856769.283365291 -7883735.258074325)
797 | (-7885793.540079953 -2303049.620808766)
798 | (1900196.7522800192 -8366004.8718362395)
799 | (-7703786.0359327495 5968860.570030328)
800 | (-3909177.533182972 -6958869.661141472)
801 | (-9860778.92263671 -7199681.878236361)
802 | (7975352.117211621 -1737302.8468337748)
803 | (3722588.744604245 7625784.387907285)
804 | (1633814.0250932276 5195971.404560922)
805 | (5422247.8312628195 7930741.998843022)
806 | (-7731227.195243945 9937098.352671701)
807 | (-7908539.317401177 -1311989.9111503623)
808 | (-1535624.6750561912 -55556.70360014588)
809 | (7007878.832117606 8029574.479618777)
810 | (-3026181.704635014 -3816968.2221752945)
811 | (-5048321.4026217675 6778793.563370727)
812 | (-7293086.228183794 6237397.019051539)
813 | (2359367.0713425353 -9261166.909372343)
814 | (-2250169.4861219116 -9346087.983503634)
815 | (-5170152.188315746 9342073.63696317)
816 | (-904678.7720774766 -3375960.625844376)
817 | (762488.4665832538 -6847068.5977457985)
818 | (7764578.34824786 -8911178.052844498)
819 | (2372940.4423490223 -6600988.39375511)
820 | (9387870.163029887 569278.2964075133)
821 | (1661990.4622493852 -423013.8819054682)
822 | (-7013291.742656495 9704134.861066356)
823 | (-9777778.599867135 6553457.941751022)
824 | (7887777.237464178 3437059.1729070973)
825 | (7346701.174698353 459234.1095580999)
826 | (-7460275.514919432 -4893022.906587516)
827 | (7768449.665716883 -9112818.597802836)
828 | (-6576692.179609545 -4700412.705682639)
829 | (-7123700.967032153 4681796.072857598)
830 | (1677403.2844651025 -5370594.922386276)
831 | (-3317616.4627417326 2025753.1694388613)
832 | (-845831.2244603224 -9011768.234473154)
833 | (579818.4753271472 5085763.14298724)
834 | (-1357022.4955392964 -7730524.684129711)
835 | (8904245.819573332 -8098381.713737892)
836 | (9913604.339572974 -4654019.58528874)
837 | (7261492.559137937 -1666534.3089161636)
838 | (-1314703.3540097289 -4193229.534223482)
839 | (-7718946.033190939 -3185041.688461623)
840 | (4505729.892956689 -7073543.56407746)
841 | (-1491411.3289595526 -8435206.589412142)
842 | (-6574355.357168425 -1023686.34771562)
843 | (-8832175.648219775 -6338632.827873469)
844 | (932707.7204001229 9104252.780405153)
845 | (-6521258.349506616 1294332.2116379812)
846 | (-4156402.9658409087 7017346.903955668)
847 | (309325.29764778167 -2698038.62916004)
848 | (-3994261.9849368287 3139600.8926999066)
849 | (-6249644.792570656 2653655.4521633238)
850 | (5044499.0151007585 4990396.559768155)
851 | (2306548.036293838 8646102.783944808)
852 | (46778.97243345715 -6258463.608836163)
853 | (8861185.635234147 5211609.540615417)
854 | (-1718267.8039927902 -3084303.651716982)
855 | (-5867985.171679379 -2618763.9479850056)
856 | (-5278166.510754651 -8607469.590399878)
857 | (224504.3749471251 4076623.0869651195)
858 | (8974369.401211046 -8748123.2847446)
859 | (-4916843.873353751 -8486134.84219202)
860 | (-505605.7678601742 3081611.141183356)
861 | (9797561.066591468 3186420.661828285)
862 | (-450801.6988030523 8675666.810243852)
863 | (9272070.673051436 -2140389.656271289)
864 | (-8690032.40339808 2497999.4812671132)
865 | (-6973503.96771508 4810311.6610734705)
866 | (7815937.272888113 714177.783727197)
867 | (-6743609.920213601 -4570142.8665137775)
868 | (1810478.0188349206 6853718.332888156)
869 | (8743748.344968855 -711714.7092923429)
870 | (-6450131.085969049 434583.8568864651)
871 | (5172128.439361621 -9658667.942056146)
872 | (52118.860089944676 4190006.032094961)
873 | (4638467.999293409 6478039.156159809)
874 | (9115853.121121291 1765572.2026691083)
875 | (-3942693.7329549007 -4506830.935119184)
876 | (4594926.816280402 1241817.4410290848)
877 | (-8112713.336605686 -4115049.2569541223)
878 | (2756357.003123503 4050904.3820430487)
879 | (6622257.018062629 -7262526.158359948)
880 | (-1747708.0652384274 9803514.98239939)
881 | (382328.09373903647 3482841.6803202536)
882 | (97680.01964138821 1361728.0797984507)
883 | (9823315.872112684 -7166996.8620444015)
884 | (4477535.080677308 -5968179.2749323305)
885 | (7235071.165101107 -1418686.4182087816)
886 | (-8109951.226023158 3767527.7900291905)
887 | (9183075.96914253 2247568.211092932)
888 | (9061038.274187215 6084059.337531323)
889 | (-1621069.7127287332 -8101671.488015938)
890 | (-7818156.429656746 -6549776.891089467)
891 | (-5891306.54910966 -1658494.6412875867)
892 | (-7670649.794055603 -9017585.60155993)
893 | (-6999965.116649751 -7574410.312324518)
894 | (-3436845.999969123 -525914.5270783734)
895 | (-8643223.116915544 -1691967.037769788)
896 | (8196806.270735793 -6756036.98073177)
897 | (7902830.643003624 734995.7146936152)
898 | (-1213761.4886700176 4830693.215133337)
899 | (1181879.4731793422 596872.5631890297)
900 | (-6353699.034805165 5840522.8815387115)
901 | (3199293.488830257 6269899.326964859)
902 | (-1188927.1333664153 201647.62756665237)
903 | (-6637717.319955215 603541.0387742948)
904 | (628222.5755464304 -2103170.1933103018)
905 | (-9054080.644557398 5252963.865937328)
906 | (-8772967.795778815 -9287095.892782452)
907 | (-9428281.78013358 -7278686.945851154)
908 | (-3622336.097083658 -4766532.491730826)
909 | (-4072229.862498236 9744573.926577765)
910 | (9459369.92035811 2562585.5485284533)
911 | (-1735882.0018268293 1633154.0931827035)
912 | (6212705.2229551375 7764579.291172735)
913 | (-8013875.674181359 2235405.890699815)
914 | (-4500178.746492072 9257936.978751443)
915 | (3154279.34419431 7692449.774500206)
916 | (2895637.3438879754 -4320010.643612178)
917 | (-878631.9255760871 -3280891.7154818326)
918 | (-5587819.388364514 -1724708.5056673298)
919 | (2420238.5535548106 1351794.3861300424)
920 | (6644210.944907695 -942194.3898343425)
921 | (4370384.995310146 -1570916.3498682547)
922 | (2578316.113795057 -9155489.18187426)
923 | (-7191500.042068459 -2000420.2478697496)
924 | (-4072127.629203981 -5269037.228662805)
925 | (7315065.876611251 -3646853.0855014026)
926 | (9470439.613738265 -2829878.691003966)
927 | (-8832212.354685195 3095536.755451102)
928 | (1502275.390531987 -4416592.342802825)
929 | (2918868.706096964 4453061.355587268)
930 | (8291693.829511546 -2473913.480463217)
931 | (-6543959.255534657 -2714541.851279444)
932 | (7960190.567800868 -2144142.210618334)
933 | (5517002.465560595 -56220.64515537396)
934 | (9721216.641379137 -8003249.269853045)
935 | (-6249320.208179852 7449340.7711185925)
936 | (4236179.728769692 -1267897.4061310776)
937 | (-7211653.696199949 -2209614.4099860275)
938 | (6911728.537186615 8150487.085294366)
939 | (8360258.626768507 7356150.022836968)
940 | (-6743693.892323945 961900.0579230133)
941 | (9812107.504759815 3028756.4201284777)
942 | (511429.3307048157 8619904.670782275)
943 | (-2474028.2239282997 -7729307.420192543)
944 | (8325962.843776554 7726230.964099303)
945 | (-1062171.8590662982 5845282.877003506)
946 | (-7272878.655278487 -7026412.471479384)
947 | (7661086.614963245 9062744.546153381)
948 | (8726895.53052092 -5467567.479758384)
949 | (-8435811.68205568 -2111120.795936876)
950 | (9702042.32412779 -1505896.0564332511)
951 | (6552681.325951757 -5809152.397293894)
952 | (1768922.462739339 -3211366.913914919)
953 | (9513134.143196244 4089598.105178127)
954 | (5700561.149453685 2285917.710379826)
955 | (-1985942.0685574207 -4712240.233664)
956 | (1846527.3256410118 -461894.8000277821)
957 | (-671461.4597992674 -968918.3639785796)
958 | (9124231.29419526 2963070.0481854435)
959 | (-6523650.251070556 5368383.082220638)
960 | (-9741901.143051226 -982845.0952599179)
961 | (356391.62996740453 4642879.339226287)
962 | (-1068349.4916017596 4984713.120972011)
963 | (1901546.3950884752 5127546.014817197)
964 | (-5299542.791175964 2923990.3827968165)
965 | (-5216982.895320564 7667363.28269726)
966 | (-6775684.359204521 4869164.63296172)
967 | (2231681.700795427 7612290.374831773)
968 | (2270425.631556647 -8528003.96869736)
969 | (7047630.2574795075 9917584.868615087)
970 | (-237687.64948929474 2635809.2176392954)
971 | (5584630.292013964 -8687946.96194976)
972 | (9947567.325797074 -2976551.6362113953)
973 | (8254969.063066453 -3403656.479311781)
974 | (-441821.7909632083 6074974.660398902)
975 | (8318018.89872646 5318316.049654363)
976 | (-3686573.4085829183 8979841.482580949)
977 | (2686700.2567761913 -6609463.507114064)
978 | (-5643494.346839948 3424652.4577062596)
979 | (-1463973.3437662814 1548547.8625177946)
980 | (-8626798.253063675 -8089269.264293615)
981 | (6958446.839001697 -1581199.5072178915)
982 | (-3465931.4444366163 5187663.750515463)
983 | (-9032265.881998684 3066928.198200673)
984 | (2565616.524117749 -1948823.9514224157)
985 | (-1530423.7696919665 -4914955.651190549)
986 | (-9405435.801867945 5678060.358184475)
987 | (4017693.1069886927 464779.24714897946)
988 | (-4177990.262325961 612426.3679710682)
989 | (-1400505.5695983116 -1114622.0288865454)
990 | (-5726149.714976685 -3064131.8790775808)
991 | (2202168.0399381723 2661982.241118809)
992 | (8146385.940771472 -7833466.932222508)
993 | (664561.6587211974 -3901444.770285383)
994 | (-2208229.506965018 3538450.60793877)
995 | (-1314674.9895312134 3393338.20370974)
996 | (5836461.676633656 -1172099.9544176217)
997 | (2083512.2422127947 -6195145.57982056)
998 | (-1711951.383958294 1560954.8306397088)
999 | (-1778233.3150642924 -2773719.6313668136)
